Interface eth0 has index 2
downlink 5.260000 delivery 46 82
downlink 5.261000 limbodelivery 47 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 41 82
downlink 5.261000 delivery 40 82
downlink 5.261000 delivery 40 82
downlink 5.261000 delivery 40 82
downlink 5.261000 delivery 40 82
uplink 5.275000 limbodelivery 330 946
uplink 5.275000 delivery 267 66
uplink 5.302000 limbodelivery 294 919
uplink 5.302000 delivery 279 70
uplink 5.302000 delivery 225 66
uplink 5.429000 limbodelivery 352 1071
uplink 5.429000 delivery 289 66
uplink 5.429000 delivery 289 939
uplink 5.429000 delivery 127 87
uplink 5.429000 delivery 65 323
downlink 5.740000 delivery 425 92
downlink 5.740000 delivery 423 60
downlink 5.740000 delivery 323 160
downlink 5.830000 delivery 51 92
uplink 6.037000 delivery 139 259
uplink 6 14693 / 28869 = 50.9 % 3800 
downlink 6 4760 / 47586 = 10.0 % 6236 
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 delivery 210 82
downlink 6.170000 limbodelivery 210 82
downlink 6.480000 delivery 63 160
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 delivery 21 82
downlink 6.480000 limbodelivery 20 82
downlink 6.480000 delivery 20 82
uplink 6.553000 delivery 41 90
uplink 6.553000 delivery 41 90
uplink 6.589000 delivery 40 357
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.620000 delivery 38 82
downlink 6.660000 limbodelivery 78 82
downlink 6.660000 delivery 31 90
downlink 6.660000 delivery 30 90
downlink 6.840000 delivery 41 60
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.940000 delivery 80 82
downlink 6.980000 limbodelivery 120 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
downlink 6.980000 delivery 115 82
uplink 7 537 / 47586 = 1.1 % 537 
downlink 7 7616 / 83636 = 9.1 % 6140 
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.150000 delivery 23 82
downlink 7.181000 limbodelivery 54 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.210000 delivery 27 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 delivery 36 82
downlink 7.280000 limbodelivery 36 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.280000 delivery 26 82
downlink 7.360000 limbodelivery 106 82
downlink 7.360000 delivery 70 92
downlink 7.360000 delivery 41 60
downlink 7.610000 delivery 193 160
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.610000 delivery 189 82
downlink 7.650000 limbodelivery 229 82
downlink 7.650000 delivery 229 82
downlink 7.650000 delivery 151 252
downlink 7.650000 delivery 151 252
downlink 7.650000 delivery 23 82
downlink 7.650000 delivery 23 82
downlink 7.650000 delivery 23 82
downlink 7.650000 delivery 23 82
downlink 7.650000 delivery 22 82
downlink 7.650000 delivery 22 82
downlink 7.650000 delivery 22 82
downlink 7.650000 delivery 22 82
downlink 7.650000 delivery 22 82
downlink 7.650000 delivery 22 82
downlink 7.651000 limbodelivery 23 82
downlink 7.651000 delivery 23 82
downlink 7.651000 delivery 23 82
downlink 7.651000 delivery 23 82
downlink 7.651000 delivery 23 82
downlink 7.651000 delivery 23 82
downlink 7.651000 delivery 23 82
downlink 7.651000 delivery 23 82
downlink 7.730000 delivery 47 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.730000 delivery 46 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 delivery 30 82
downlink 7.770000 limbodelivery 30 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
downlink 7.910000 delivery 59 82
uplink 8 0 / 56238 = 0.0 % 0 
downlink 8.010000 delivery 49 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 delivery 48 82
downlink 8.010000 limbodelivery 48 82
downlink 8 15248 / 47586 = 32.0 % 16724 
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.120000 delivery 119 82
downlink 8.141000 limbodelivery 140 82
downlink 8.141000 delivery 101 92
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.150000 delivery 21 82
downlink 8.220000 delivery 36 82
downlink 8.220000 delivery 36 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
downlink 8.220000 delivery 35 82
uplink 8.227000 delivery 112 107
downlink 8.250000 limbodelivery 65 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.350000 delivery 54 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.400000 delivery 46 82
downlink 8.440000 limbodelivery 86 82
downlink 8.440000 delivery 23 160
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.530000 delivery 45 82
downlink 8.531000 limbodelivery 46 82
downlink 8.531000 delivery 24 60
uplink 8.624000 delivery 112 90
uplink 8.624000 delivery 112 90
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.660000 delivery 31 82
downlink 8.731000 delivery 31 90
downlink 8.731000 delivery 31 90
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.910000 delivery 170 82
downlink 8.940000 limbodelivery 200 82
downlink 8.940000 delivery 150 92
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.940000 delivery 139 82
downlink 8.950000 limbodelivery 149 82
downlink 8.950000 delivery 130 60
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 limbodelivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 99 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.950000 delivery 43 82
downlink 8.980000 limbodelivery 73 82
downlink 8.980000 delivery 73 82
downlink 8.980000 delivery 47 60
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
downlink 9.000000 delivery 37 82
uplink 9 287 / 72100 = 0.4 % 357 
downlink 9 17924 / 59074 = 30.3 % 16530 
uplink 9.084000 delivery 53 70
downlink 9.210000 limbodelivery 247 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.210000 delivery 137 82
downlink 9.240000 limbodelivery 167 82
downlink 9.240000 delivery 165 240
downlink 9.240000 delivery 165 240
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.240000 delivery 110 82
downlink 9.250000 limbodelivery 120 82
