Interface eth0 has index 2
downlink 6.086000 delivery 103 82
downlink 6.086000 delivery 103 82
downlink 6.166000 limbodelivery 183 82
downlink 6.166000 delivery 183 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
downlink 6.166000 delivery 175 82
uplink 6.167000 limbodelivery 744 946
uplink 6.167000 delivery 685 66
downlink 6.199000 limbodelivery 208 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
downlink 6.199000 delivery 189 82
uplink 6.223000 limbodelivery 741 919
uplink 6.223000 delivery 673 66
uplink 6.334000 limbodelivery 784 1071
uplink 6.334000 delivery 719 66
uplink 6.334000 delivery 719 939
uplink 6.334000 delivery 455 87
uplink 6.334000 delivery 191 259
downlink 6.356000 limbodelivery 346 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.356000 delivery 338 82
downlink 6.396000 limbodelivery 378 82
downlink 6.396000 delivery 286 90
downlink 6.396000 delivery 196 60
downlink 6.396000 delivery 118 60
downlink 6.596000 delivery 169 243
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.596000 delivery 122 82
downlink 6.782000 limbodelivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
downlink 6.782000 delivery 308 82
uplink 6.889000 delivery 56 357
