12.350458000	52543	0	1191	1455
12.350517000	52544	0	724	1455
12.350577000	52545	0	724	1455
12.350595000	52546	0	200	1455
12.388718000	52547	0	979	2256
12.396011000	52543	1	1191	1455
12.422732000	52548	0	808	3071
12.452078000	52544	1	724	1455
12.452143000	52545	1	724	1455
12.454925000	52549	0	572	3885
12.480268000	52550	0	526	4692
12.508148000	52546	1	200	1455
12.508172000	52547	1	979	2256
12.545551000	52551	0	769	6298
12.564724000	52548	1	808	3071
12.582264000	52552	0	394	7091
12.614815000	52553	0	573	7878
12.620963000	52549	1	572	3885
12.620983000	52550	1	526	4692
12.676098000	52551	1	769	6298
12.692656000	52554	0	638	9478
12.718355000	52555	0	733	10298
12.732506000	52552	1	394	7091
12.732524000	52553	1	573	7878
12.743238000	52554	1	638	9478
12.752087000	52556	0	449	11115
12.787579000	52555	1	733	10298
12.787605000	52556	1	449	11115
12.821367000	52557	0	982	12730
12.843075000	52557	1	982	12730
12.885617000	52558	0	458	14334
12.915041000	52558	1	458	14334
12.919305000	52559	0	481	15132
12.954856000	52559	1	481	15132
12.987035000	52560	0	645	16721
13.010254000	52560	1	645	16721
13.032076000	52561	0	901	17513
13.065995000	52561	1	901	17513
13.087086000	52562	0	835	19120
13.120107000	52562	1	835	19120
13.154022000	52563	0	476	20702
13.189455000	52564	0	358	21529
13.192723000	52563	1	476	20702
13.222911000	52565	0	336	22316
13.248373000	52566	0	386	23109
13.248471000	52564	1	358	21529
13.248486000	52565	1	336	22316
13.281214000	52566	1	386	23109
13.282106000	52567	0	465	23929
13.314067000	52568	0	581	24722
13.343003000	52567	1	465	23929
13.349158000	52569	0	466	25510
13.392460000	52570	0	512	26345
13.414302000	52568	1	581	24722
13.416134000	52571	0	497	27160
13.449944000	52572	0	1014	27952
13.483703000	52573	0	817	28767
13.514212000	52569	1	466	25510
13.514245000	52570	1	512	26345
13.516829000	52574	0	442	29587
13.520950000	52571	1	497	27160
13.550223000	52575	0	423	30400
13.584596000	52576	0	451	31213
13.618220000	52577	0	440	32040
13.651801000	52578	0	396	32876
13.670880000	52572	1	1014	27952
13.670917000	52573	1	817	28767
13.692107000	52574	1	442	29587
13.697231000	52579	0	447	33718
13.729433000	52580	0	502	34533
13.731650000	52575	1	423	30400
13.763624000	52581	0	468	35362
13.787084000	52576	1	451	31213
13.787100000	52577	1	440	32040
13.798589000	52582	0	465	36195
13.798676000	52578	1	396	32876
13.798692000	52579	1	447	33718
13.831860000	52583	0	473	37021
13.859445000	52580	1	502	34533
13.859456000	52581	1	468	35362
13.859470000	52582	1	465	36195
13.866729000	52584	0	679	37862
13.881663000	52583	1	473	37021
13.892994000	52584	1	679	37862
13.900927000	52585	0	568	38679
13.933233000	52586	0	451	39503
13.966802000	52587	0	513	40298
13.992848000	52585	1	568	38679
14.001578000	52588	0	409	41108
14.014459000	52586	1	451	39503
14.014474000	52587	1	513	40298
14.025687000	52588	1	409	41108
14.036556000	52589	0	406	41947
14.064421000	52589	1	406	41947
14.071938000	52590	0	476	42784
14.106930000	52591	0	632	43594
